accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-ZB648	168.0789385	61.87841155	8.332965161	65.80616257	29.55420992	9.077826192	5.460210416	10.44924216	4.101521508	2.59044927	14.57106505	20.32144205	25.66761889	13.40290326	9.112908576	8.304503641	4.702084461	69.028	67.5734	64.4702	1.0
MODEM-ZH68	135.0199677	41.76270433	7.492339603	60.8813472	25.76658526	5.473887078	5.556914621	11.1916327	3.434026021	1.959652771	11.51462157	21.48273108	21.22352016	8.757311144	8.582091889	8.213673332	4.80678788	65.8159	64.3457	62.462	0.0
MODEM-ZHENG22	154.9029695	60.80569749	9.579409955	69.49124382	28.68164859	16.70349585	5.689045119	12.81739557	4.133619652	2.569236644	14.81256182	21.32655549	23.05739708	20.08540884	9.765669638	8.358108413	4.977759285	70.4199	68.4638	66.59	1.0
MODEM-ZHENG28	152.7757224	68.85370273	9.500652583	71.82285387	27.782985	7.250476782	4.970671025	11.98639909	4.297393135	2.76033635	14.61257231	22.14400611	24.92886755	17.73371179	9.538996566	8.502543495	4.919443457	72.4543	70.022	67.9288	1.0
MODEM-ZHENG29	165.4459162	56.80852377	8.393673968	62.75800895	29.52437876	7.925971329	5.241907855	13.02296291	3.747712425	2.046177954	14.26919409	23.81236969	22.37038435	13.12791563	10.08415965	7.862264268	4.604007841	71.2765	68.3525	66.0321	1.0
MODEM-ZHENG30	171.0501044	60.64262641	7.894877281	75.42604442	26.86343959	7.890829994	5.636384414	14.03476241	3.748077176	2.365297717	12.79002638	23.80600247	23.81006493	17.46958313	8.464451434	7.909912955	4.728591656	68.2785	66.2378	64.4702	1.0
MODEM-ZHENG32	156.4451128	56.38522347	7.813932204	63.49729994	27.641287	4.763251196	5.555136468	12.45249904	3.129093656	1.8416808	11.43538044	19.02057893	21.83965465	10.51548908	9.407009714	7.396200552	4.537739855	72.4543	71.2463	68.8213	0.0
MODEM-ZHENG35	168.3745372	52.85573364	8.048016615	65.26249935	28.2356728	8.054822889	5.728848406	13.00881187	3.655430262	1.966351494	14.48050376	23.28980138	20.33287031	9.512517658	9.584905036	7.954583598	4.75774957	70.2058	69.1316	66.0321	1.0
MODEM-ZHENG58	137.9257651	39.6773376	8.223032996	68.60409463	27.94705636	4.657827192	4.797916554	12.84430601	4.034042456	2.493689924	12.42023446	22.31647323	27.86432573	14.99669871	9.748453962	8.72291867	4.923419536	66.9937	66.1265	63.3545	0.0
MODEM-ZHENG653	154.2421934	50.920962	7.943006786	62.91724086	26.27651159	6.590600606	5.37116595	9.938035769	3.694823438	2.370879987	13.6277183	22.66454407	19.17990578	12.67390265	8.642346756	7.476607711	4.301825823	73.3109	70.5785	68.4866	1.0
